,idiom_id,idiom,sentence,emotion
594,118,along about,She felt a surge of resentment when she discovered her secret had been shared along about the whole office.,Anger
600,120,also known as,"She's a fantastic singer, also known as the nightingale of our town.",Admiration
601,120,also known as,"My boss, also known as the tyrant, made everyone work on the weekend.",Resentment
604,120,also known as,"My neighbor, also known as the 'helping hand,' is always there for those in need.",Gratitude
606,121,amateur hour,Her speech seemed like amateur hour; she stumbled over her words and lost her place multiple times.,Pity
607,121,amateur hour,"I've been watching this new coworker, and it's like amateur hour every day with him.",Disgust
609,121,amateur hour,This event feels like amateur hour; nobody knows what they're doing here.,Confusion
610,122,ambulance chasing,Ambulance chasing lawyers give the whole profession a bad name.,Disgust
611,122,ambulance chasing,I heard he made a fortune in the business by ambulance chasing after accidents.,Pity
612,122,ambulance chasing,Ambulance chasing behaviors won't earn you any respect in this community.,Shame
613,122,ambulance chasing,These ambulance chasing reporters are exploiting people's pain for their own benefit.,Anger
614,122,ambulance chasing,"At first, I thought I could handle ambulance chasing, but now it just seems morally wrong.",Regret
615,123,an apple a day,An apple a day keeps me feeling lively and fit each morning.,Happiness
616,123,an apple a day,He still couldn't believe that following the advice of an apple a day truly made a difference in his health.,Surprise
617,123,an apple a day,"Just remember, an apple a day can help prevent those unwanted medical expenses.",Relief
618,123,an apple a day,"I've been eating an apple a day, and it seems like all that hard work at the gym is finally showing results.",Pride
619,123,an apple a day,"Although they knew an apple a day might not be enough, they clung to the belief that small changes in their diet could improve their well-being.",Hope
621,124,an offer one can't refuse,"Sarah's heart pounded in her chest as the mysterious man made her an offer she couldn't refuse, fearing the consequences of saying no.",Anxiety
622,124,an offer one can't refuse,"The publisher made him an offer he couldn't refuse, providing the financial stability he had always longed for.",Relief
623,124,an offer one can't refuse,"Trapped in a corner, the mob boss presented him with an offer he couldn't refuse, resulting in a deep feeling of dread.",Fear
624,124,an offer one can't refuse,"Laura's eyes sparkled with excitement as she stepped into her dream home, all thanks to the outstanding deal her realtor had negotiated â an offer she couldn't refuse.",Excitement
626,125,ancient history,I can't believe you're still holding onto that argument from last year; it's ancient history!,Frustration
627,125,ancient history,Discovering the truth about their relationship felt like unearthing ancient history.,Shock
628,125,ancient history,"She bought an antique desk, hoping that it might contain a hidden drawer with ancient history.",Fascination
630,126,and all,"She won the lottery, got her dream job, and met her soulmate - she truly had it all in a short span of time.",Happiness
631,126,and all,"Despite his constant efforts, he realized that he can't have it all in life, which seemed so unfair.",Frustration
632,126,and all,"Ever since her promotion, she acts like she has it all figured out and nobody can tell her otherwise.",Admiration
633,126,and all,"They were under the illusion that wealth would grant them the satisfaction of having it all, but eventually discovered the emptiness of material possessions.",Regret
634,126,and all,I'm tired of people around me pretending they've got it all when they're going through similar struggles to mine.,Resentment
636,127,and all this,"She finally got the scholarship she deserved, and all that struggle she faced was worth it.",Happiness
637,127,and all this,"Despite studying for days, he still failed the exam, and all that time spent seemed like a huge waste.",Regret
638,127,and all this,"They stayed up late to finish their puzzle, and all those hours invested resulted in a beautiful masterpiece.",Pride
640,128,and be done with it,"After finishing the tiresome project, she handed it in and was done with it.",Relief
641,128,and be done with it,Just pay the overdue fine and be done with it.,Frustration
642,128,and be done with it,"If you don't like the club, simply leave and be done with it.",Resentment
643,128,and be done with it,"He was elated when the marathon finally ended, and he could be done with it.",Happiness
645,129,and change,"He wanted to turn over a new leaf, but old habits die hard.",Frustration
646,129,and change,"When she moved to a new city, she embraced the opportunity for a change of scenery.",Excitement
647,129,and change,"The meeting ended in chaos, proving that too many cooks spoil the broth.",Anger
648,129,and change,"He was desperate for a change of pace, as his monotonous routine was causing him to feel worn out.",Boredom
649,129,and change,Seeing his old friend succeed where he failed made him realize that a leopard can't change its spots.,Regret
650,130,and finally,"After years of hard work, she achieved her dream job, and finally, everything fell into place.",Happiness
651,130,and finally,"The long journey ended, and finally, they could rest their weary bones.",Relief
652,130,and finally,"They kept waiting, but and finally came their opportunity to prove themselves.",Determination
653,130,and finally,"He had always feared public speaking, but when he finished it successfully, and finally, a wave of confidence washed over him.",Pride
654,130,and finally,"After multiple failed attempts, she solved the puzzle, and finally, a smile of satisfaction appeared on her face.",Excitement
655,131,and his mother,"He finally got the job, and it felt like even his mother would approve of his accomplishments.",Pride
656,131,and his mother,"Missing his bus by a whisker, he cursed in annoyance, thinking, ""And his mother, too, I bet, planned this!""",Anger
657,131,and his mother,"She looked at the chaotic living room, thinking, ""And his mother probably spoiled him rotten.""",Disgust
658,131,and his mother,"Watching him laugh with his family, she sighed, thinking fondly ""And his mother raised such a perfect son.""",Admiration
660,132,and how,"He finally found the perfect job and how, after searching for months.",Relief
661,132,and how,"She managed to finish the race, and how! She even broke a record.",Pride
663,132,and how,"My garden is flourishing, and howâit's a beautiful oasis now.",Admiration
664,132,and how,"The band played all of their greatest hits, and howâwe danced all night!",Happiness
665,133,and so forth,"She continued listing her accomplishments, her travels, and so forth, with an air of pride.",Pride
666,133,and so forth,"I felt happiness bubble up inside of me as I heard her describe her successes, her family, and so forth.",Happiness
667,133,and so forth,"Hearing him go on and on about the minutiae of his day, the tedious errands he had run, and so forth, I couldn't help but feel bored.",Boredom
668,133,and so forth,"I couldn't believe the mess she left behind â the broken glass, spilled paint, and so forth â and felt a surge of anger rise within me.",Anger
669,133,and so forth,"As I listened to the series of unfortunate events that had befallen him â the loss of his job, his sickness, and so forth â pity welled up inside me.",Pity
670,134,and so on,"They kept adding new requirements to the project, and so on, until I felt a wave of frustration washing over me.",Frustration
671,134,and so on,"We visited one beautiful city after another, and so on, during our travels, filling us with awe and surprise.",Surprise
672,134,and so on,"The news of her promotion, new house, lavish vacations, and so on, stirred some envy within me.",Envy
673,134,and so on,"The charity work she does includes helping the homeless, fundraising for children's hospitals, supporting animal shelters, and so on, which fills my heart with admiration.",Admiration
674,134,and so on,"The constant delays, the endless meetings, the disagreements, and so on â it all just added to my sense of desperation.",Desperation
675,135,and the like,"When she received the beautiful bouquet, it was clear her heart swelled with happiness and the like.",Happiness
676,135,and the like,"Meeting new people at parties or events fills her with feelings of excitement, curiosity, and the like.",Excitement
677,135,and the like,It's frustrating when the boss interrupts our team meetings with unrelated gossip and the like.,Frustration
678,135,and the like,"Watching the achievements of her closest friend, she couldn't help feeling a pang of envy and the like.",Envy
679,135,and the like,"Terrible news about the accident triggered feelings of shock, disbelief, and the like.",Shock
680,136,and then some,"He ran the entire marathon and then some, without breaking a sweat.",Admiration
681,136,and then some,She managed to bake not only the cookies we needed but also surprised us with cupcakes and then some.,Gratitude
682,136,and then some,"The concert exceeded my expectations, having not only my favorite band but other amazing performers and then some.",Excitement
683,136,and then some,"His new job pays well, provides amazing benefits, and then some, which allows him to live comfortably.",Relief
684,136,and then some,The movie was so thrilling that it kept us on the edge of our seats and then some.,Fascination
685,137,and whatnot,"After the big fight, Jim stormed out of the house, slamming the door and yelling about trust issues, and whatnot.",Anger
686,137,and whatnot,"She spent hours browsing through the store, picking up clothes, accessories, and whatnot, only to put them back and leave without buying anything.",Boredom
687,137,and whatnot,"The reunion was filled with laughter, old memories, and whatnot as everyone caught up with each other's lives.",Happiness
688,137,and whatnot,"The lecture covered a wide variety of topics, from climate change to social issues and whatnot, leaving the audience with a sense of fascination.",Fascination
689,137,and whatnot,"Sarah felt a mixture of excitement and nervousness as she packed her bags for college, making sure to include all her essentials, gadgets, and whatnot.",Excitement
690,138,angle for,"She was always angling for compliments, which made her friends feel annoyed.",Frustration
691,138,angle for,"When he started angling for a promotion, his coworkers noticed a shift in his attitude.",Determination
692,138,angle for,The way he angles for favors without giving anything in return really makes me question his intentions.,Doubt
693,138,angle for,He couldn't help but angle for her affection despite knowing she was in a committed relationship.,Longing
694,138,angle for,"It's fascinating how she always angles for attention, even in the most mundane situations.",Fascination
695,139,angle of attack,"When facing this difficult project, she adjusted her angle of attack to successfully complete it.",Determination
696,139,angle of attack,Seeing his innovative angle of attack on the problem left everyone in awe.,Admiration
697,139,angle of attack,Her constant criticism of his angle of attack caused him to feel undermined.,Frustration
698,139,angle of attack,The unexpected outcome made them reconsider their angle of attack.,Surprise
699,139,angle of attack,Their angle of attack put them on a collision course with the opposing team.,Confusion
700,140,answer back,"""How dare you answer back to me like that?"" he shouted, his face turning red.",Anger
701,140,answer back,"When she answered back with a sarcastic remark, his face fell as he realized she didn't care about his advice.",Sadness
702,140,answer back,"""Why do you always have to answer back? Can't you just accept what I say?"" she questioned exasperatedly.",Frustration
703,140,answer back,"Feeling a sense of admiration for his assertiveness, she couldn't help but smile when he fearlessly answered back.",Admiration
704,140,answer back,"When the student confidently answered back to the teacher, the rest of the class erupted in laughterâexasperated, the teacher realized she had been taught an important lesson.",Surprise
705,141,answer for,"He rushed to answer for his brother's mistake, feeling a heavy burden of responsibility on his shoulders.",Guilt
706,141,answer for,"Jane faced everyone with great courage, prepared to answer for her controversial decision.",Determination
707,141,answer for,"""You'll have to answer for your wrongdoings,"" she said coldly, demanding justice.",Anger
708,141,answer for,I couldn't believe he was willing to answer for my mistakes; his support left me speechless.,Gratitude
709,141,answer for,"The news made me realize that I would soon answer for my reckless choices, and the walls closed in around me.",Anxiety
710,142,answer to,"After tirelessly searching for the missing piece, Sheila finally found the answer to the puzzle, which left her in a state of extreme happiness.",Happiness
711,142,answer to,"John's latest discovery was the answer to their financial woes, offering a wave of relief for his struggling family.",Relief
712,142,answer to,"The villain held the secret answer to the hero's past, which filled him with dread and uneasiness as he approached.",Fear
713,142,answer to,"Anna had the answer to the riddle that had been plaguing Sam for days, sparking curiosity and impatience in his mind.",Fascination
714,142,answer to,"As the scientist stumbled upon the answer to solving the world's energy crisis, it ignited a profound sense of accomplishment and self-worth.",Pride
715,143,anyone's guess,It's anyone's guess when we'll finally hear back about the job interview.,Anxiety
716,143,anyone's guess,The outcome of the game was anyone's guess until the last minute.,Excitement
718,143,anyone's guess,Predicting the weather in this region is anyone's guess.,Frustration
719,143,anyone's guess,"With so many great ideas on the table, choosing the best one is anyone's guess.",Confusion
720,144,anything goes,"In this competitive world, it seems like anything goes.",Anxiety
721,144,anything goes,"During the party, they were having so much fun that anything goes.",Excitement
722,144,anything goes,"She felt so free when she realized that, in her new creative environment, anything goes.",Relief
723,144,anything goes,The chaos that ensued as they tried to choose a leader showed that anything goes.,Confusion
724,144,anything goes,Their unethical business practices proved that they believe anything goes.,Disgust
725,145,apple of someone's eye,"Ever since little Jamie learned to play the piano, he became the apple of his grandmother's eye.",Admiration
726,145,apple of someone's eye,Watching her daughter graduate with honors made her feel like the proud parent of the apple of everyone's eye.,Pride
727,145,apple of someone's eye,He was envious of his younger brother who always seemed to be the apple of their father's eye.,Envy
728,145,apple of someone's eye,"Every time I see Jenny with her new dog, I know it's the apple of her eye, and it warms my heart.",Affection
729,145,apple of someone's eye,"The small cafe, hidden away in the city, is like the apple of my eye, a secret I cherish.",Fascination
730,146,apples and oranges,Comparing their personalities is like comparing apples and oranges; they're both so unique.,Admiration
731,146,apples and oranges,Trying to make a fair decision between these job offers is like comparing apples and oranges; they have completely different pros and cons.,Confusion
732,146,apples and oranges,"My favorite type of music? Honestly, that's like comparing apples and oranges; it depends on my mood.",Surprise
733,146,apples and oranges,She was frustrated that the debate kept going in circles because the participants were arguing apples and oranges rather than addressing the main concern.,Frustration
734,146,apples and oranges,It's truly fascinating how a discussion about apples and oranges can generate such passionate exchanges among fruit enthusiasts.,Fascination
735,147,area of influence,He has such a wide area of influence; it seems like everyone admires his leadership skills.,Admiration
736,147,area of influence,Her vast area of influence within the company leaves some of her colleagues green with envy.,Envy
737,147,area of influence,The limited area of influence I have at work makes me feel utterly frustrated.,Frustration
739,147,area of influence,She has worked tirelessly to expand her area of influence to create a positive change in her community.,Determination
740,148,arm and a leg,I would gladly give an arm and a leg to spend time with my family again.,Longing
741,148,arm and a leg,"She spent an arm and a leg on that vacation, no wonder she was basking in luxury.",Admiration
742,148,arm and a leg,It cost me an arm and a leg to repair my car after that accident.,Frustration
743,148,arm and a leg,Winning the lottery enabled him to buy a lakefront property that once cost an arm and a leg.,Happiness
744,148,arm and a leg,"After spending an arm and a leg on their dream house, they worried about financial stability.",Anxiety
745,149,arm candy,"She always flaunted her arm candy during social events, clearly radiating with pride.",Pride
746,149,arm candy,"Everyone at the party stared at her arm candy, their faces showing obvious envy.",Envy
747,149,arm candy,He felt a sense of frustration as he watched her rely on her arm candy to gain attention.,Frustration
749,149,arm candy,"When he was left as mere arm candy, he couldn't help but feel humiliation.",Humiliation
750,150,arm up,"When she felt the warmth of the fireplace, it was as if her soul was being wrapped in serenity.",Serenity
751,150,arm up,"After a long day of work, the hot bath was just what he needed to arm up and relax his tense muscles.",Relief
752,150,arm up,"Sitting by the fire and watching the flames dance, she was filled with a sense of fascination.",Fascination
753,150,arm up,"The first sip of hot cocoa after a cold walk completely armed him up, making him feel pure happiness.",Happiness
754,150,arm up,"He couldn't wait to arm up after the intense workout session, feeling accomplished and determined to achieve his goals.",Determination
755,151,around the corner,The solution to his problem is just around the corner.,Hope
756,151,around the corner,I'm tired of waiting for success to be around the corner.,Frustration
757,151,around the corner,Their love story took a new turn when happiness was finally around the corner.,Relief
759,151,around the corner,The sudden news that a new bakery was opening around the corner provided unexpected excitement.,Surprise
760,152,arrive at,They barely arrived at the party on time due to the heavy traffic.,Anxiety
761,152,arrive at,She felt a wave of happiness as she arrived at the beautiful hotel for her vacation.,Pleasure
763,152,arrive at,"As he arrived at the summit, the breathtaking view filled him with a sense of accomplishment.",Pride
765,153,as I was saying,"As I was saying, she helped me through thick and thin, and I'm forever thankful for that.",Gratitude
766,153,as I was saying,"As I was saying, I can't believe he landed that incredible job out of nowhere!",Surprise
768,153,as I was saying,"As I was saying, when I saw their warm embrace, I wished it was me wrapped in those loving arms.",Longing
769,153,as I was saying,"As I was saying, I can't keep up with this frenzied pace anymore; I need a break.",Desperation
770,154,as a rule,"As a rule, he treats everyone with kindness and respect, which earns him a lot of admiration.",Admiration
771,154,as a rule,"As a rule, I try not to indulge in gossip, as I believe it creates unnecessary negativity and resentment.",Resentment
773,154,as a rule,"As a rule, she never misses a deadline; however, today's unexpected event caught her off guard, leaving her with a sense of desperation.",Desperation
774,154,as a rule,"As a rule of thumb, they avoid political discussions during family gatherings to prevent any frustration from escalating.",Frustration
775,155,as a whole,"The community worked together as a whole, and their combined efforts led to a successful event.",Happiness
776,155,as a whole,"Despite our differences, we need to support one another as a whole during these challenging times.",Determination
777,155,as a whole,"Even though the team lost a few games, they performed admirably as a whole this season.",Pride
778,155,as a whole,"Unexpectedly, the entire department was laid off; they were jobless as a whole.",Sadness
779,155,as a whole,"As a whole, the experiment's outcome was filled with errors and inconsistencies, leaving the researchers baffled.",Confusion
780,156,as all get-out,"His cooking skills amazed everyone, making the dinner party enjoyable as all get-out.",Admiration
781,156,as all get-out,"The line at the theme park was as long as all get-out, leaving us feeling impatient and agitated.",Frustration
782,156,as all get-out,"Finding a parking spot during the holidays can be as difficult as all get-out, making shopping trips quite stress-inducing.",Anxiety
784,156,as all get-out,"The conversation with her distant aunt was as tedious as all get-out, resulting in a strong desire to escape.",Boredom
785,157,as best one can,"Even though her car broke down, she managed to get to work as best one can, showing her determination.",Determination
786,157,as best one can,"He made the most delicious cake as best one can, and everyone was impressed by his baking skills.",Admiration
787,157,as best one can,"Living far away from civilization, they tried to create a comfortable lifestyle as best one can, though the loneliness sometimes crept in.",Loneliness
788,157,as best one can,"After losing everything, she tried to rebuild her life as best one can, holding on to hope as her guide.",Hope
789,157,as best one can,"In the aftermath of the natural disaster, the community came together to rebuild and recover as best one can, feeling a sense of unity and shared purpose.",Pride
791,158,as far as,"As far as he knows, they might not make it in time for the deadline.",Anxiety
792,158,as far as,"As far as she's concerned, she hasn't been appreciated for her efforts.",Resentment
793,158,as far as,"As far as they've come, giving up now would be a terrible waste.",Determination
794,158,as far as,"As far as his abilities go, he's been underestimated time and again.",Frustration
795,159,as far as one knows,"As far as one knows, she has been the most supportive friend I've ever had.",Gratitude
796,159,as far as one knows,"As far as one knows, he was the only one who didn't receive an invitation to the party.",Pity
797,159,as far as one knows,"She passed her exam with flying colors, as far as one knows, she's never failed a single one.",Admiration
799,159,as far as one knows,"As far as one knows, their relationship ended because of constant disagreements and fights.",Sadness
800,160,as it happens,"As it happens, I just finished the project and could finally take a break.",Relief
801,160,as it happens,I couldn't help but smile as it happens that I won the lottery.,Happiness
802,160,as it happens,"As it happens, the book I was searching for is out of stock on every website.",Frustration
803,160,as it happens,My heart raced as it happens that my secret crush messaged me.,Excitement
805,161,as long as,"As long as he keeps making those snarky comments, I'll never want to talk to him again.",Resentment
806,161,as long as,"As long as I'm stuck in this dead-end job, life seems rather monotonous.",Boredom
808,161,as long as,"As long as I have to deal with this traffic every day, my stress levels skyrocket.",Frustration
809,161,as long as,"As long as there's a chance, I'll never give up on my dreams.",Determination
810,162,as luck would have it,"As luck would have it, I found the last pair of shoes in my size during the sale.",Happiness
811,162,as luck would have it,"As luck would have it, my neighbor started playing loud music just when I had to study for my exams.",Frustration
812,162,as luck would have it,"As luck would have it, I spotted my friend at the busy station just when I had thought I'd be lost forever.",Relief
814,162,as luck would have it,"As luck would have it, the job interview I was so nervous about got canceled due to the unforeseen circumstances.",Anxiety
815,163,as much,"As much as he tried to fit in, he was always on the outside looking in.",Loneliness
817,163,as much,"As much as she wanted to succeed, others seemed to look down on her.",Frustration
818,163,as much,"I studied as much as I could, hoping to ace the exam.",Determination
820,164,as often as not,"As often as not, she finds herself feeling overwhelmed by the workload.",Anxiety
821,164,as often as not,"It makes him beam with joy, knowing that as often as not, his efforts bring smiles to people's faces.",Happiness
822,164,as often as not,"As often as not, the thought of seeing her again fills his heart with a mix of sorrow and longing.",Sadness
823,164,as often as not,"As often as not, he can't shake the feeling of envy when watching his successful peers.",Envy
824,164,as often as not,The fact that she finds herself at a loss as often as not leaves her feeling slightly embarrassed.,Humiliation
825,165,as soon as,"As soon as she heard the good news, her face lit up with joy.",Happiness
826,165,as soon as,"As soon as he realized his mistake, his stomach sank with remorse.",Regret
827,165,as soon as,"As soon as the alarm went off, she leaped out of bed with eager anticipation.",Excitement
828,165,as soon as,"As soon as darkness fell, he couldn't shake the unsettled feeling creeping over him.",Anxiety
829,165,as soon as,"As soon as she entered the room, eyes filled with awe were upon her.",Admiration
830,166,as the day is long,"His dedication to the project never wavers, remaining strong as the day is long.",Admiration
831,166,as the day is long,"Mara kept waiting for the bus, feeling like her ordeal was as drawn-out as the day is long.",Boredom
832,166,as the day is long,The amount of work she managed to complete during her shift was as impressive as the day is long.,Pride
834,166,as the day is long,Their love for each other remained as constant as the day is long.,Affection
835,167,as the next guy,"Despite his success, he still remains as humble as the next guy.",Admiration
836,167,as the next guy,Just because she's famous doesn't mean she doesn't have problems like the next guy.,Pity
837,167,as the next guy,"I deserve that promotion just as much as the next guy, but they keep overlooking me.",Frustration
838,167,as the next guy,"Working hard day in and day out, I still struggle to get ahead, just like the next guy.",Determination
839,167,as the next guy,"She acts so superior, but deep down, she's as unsure of herself as the next guy.",Doubt
840,168,as well,"After finishing her work early, Jane decided she might as well enjoy a relaxing evening at home.",Pleasure
841,168,as well,"Despite feeling nervous, he figured he might as well give the presentation a shot.",Determination
842,168,as well,"Since the event was canceled, she realized she might as well spend time with her family.",Gratitude
843,168,as well,"He missed the train by a minute, so he thought he might as well grab a coffee while waiting for the next one.",Relief
844,168,as well,"After hearing the news about the promotion, Sarah concluded she might as well celebrate the exciting milestone.",Excitement
845,169,as well as,She's adjusting to her new job as well as embracing the city life with such enthusiasm.,Excitement
846,169,as well as,He can play the guitar as well as tickle the ivories with impressive skill.,Admiration
847,169,as well as,"After the storm passed, their home remained undamaged, and they were safe and sound, as well as incredibly grateful.",Gratitude
848,169,as well as,"Despite my careful planning, the project failed, and I couldn't help but feel responsible for its downfall, as well as disappointed.",Regret
849,169,as well as,"The toddler was able to count to ten as well as recite the alphabet, leaving everyone amazed.",Surprise
850,170,as yet,"As of yet, he hasn't thanked me for the gift I gave him last week.",Resentment
851,170,as yet,"She's been searching for months, but as yet, she hasn't found the perfect job opportunity.",Frustration
852,170,as yet,"As yet, no cure for the common cold has been discovered, and people continue to suffer.",Sadness
853,170,as yet,"They say great things are coming, but as yet, I see only chaos in this world.",Fear
854,170,as yet,"Despite repeated efforts, as yet, no progress has been made in the negotiations.",Doubt
855,171,as you know,"As you know, to err is human, but some mistakes take a toll on one's conscience.",Regret
856,171,as you know,"As you know, the sun peeked through the clouds, spreading joy and warmth during our morning walk.",Happiness
857,171,as you know,"As you know, life has been throwing curveballs, and it can feel quite overwhelming at times.",Anxiety
858,171,as you know,"As you know, her fierce determination in the face of adversity has been truly inspiring.",Admiration
859,171,as you know,"As you know, he finally found the missing piece to his puzzle, leaving him in awe of his discovery.",Surprise
860,172,ask after,"When Susan's neighbors always ask after her mother's health, it shows their genuine concern and care.",Affection
861,172,ask after,The way she asked after his promotion seemed like she was poking into his personal life just to measure his success.,Envy
862,172,ask after,Hearing his classmates ask after his well-being during his absence made him feel less alone in his struggles.,Gratitude
863,172,ask after,"Despite their heated arguments, Joe couldn't help but ask after his ex-girlfriend, as he still kept feelings for her.",Longing
864,172,ask after,The constant ask after my dog's vaccination from my aunt makes me concerned that she is questioning my ability to properly care for my pets.,Doubt
865,173,ask around,I thought I'd ask around to see if anyone shares my passion for antique collecting.,Excitement
866,173,ask around,"Despite my best efforts to ask around in search of that rare book, I kept running into dead ends.",Frustration
867,173,ask around,"She advised me to ask around before jumping into any job offers, to ensure it's the right fit.",Determination
869,173,ask around,"I decided to ask around for opinions on my painting, but the silence from others left me feeling disheartened.",Sadness
870,174,ask for it,"He kept taunting the bull, and when it charged at him, he really asked for it.",Anger
871,174,ask for it,"When she refused to follow the recipe, her cake turned out horrible â she asked for it.",Frustration
873,174,ask for it,"After boasting about his skills, he performed poorly and lost the match; he asked for it.",Humiliation
874,174,ask for it,"He insisted on watching the horror movie, and now he can't sleep; he asked for it.",Fear
875,175,ask out,"He gathered the courage to ask her out, feeling a surge of excitement throughout his entire body.",Excitement
876,175,ask out,"She hesitated to ask him out, unsure if it would lead to unnecessary complications in their friendship.",Doubt
877,175,ask out,I finally decided to ask her out and was over the moon when she agreed to go on a date with me.,Happiness
879,175,ask out,"Overwhelmed with anxiety and a racing heart, she prepared herself to ask him out, unsure of the outcome.",Anxiety
881,176,ask the question,The final exam asked the question if I could tackle the hardest problems.,Determination
882,176,ask the question,The sudden rainstorm during the picnic really asked the question of our adaptability.,Surprise
883,176,ask the question,The therapist soon asked the question that broke through his emotional barriers.,Relief
884,176,ask the question,Winning the lottery asked the question if our newfound fortune would bring joy or stress.,Confusion
885,177,asleep at the switch,"He was asleep at the switch when the opportunity came his way, causing him to miss out on a potentially great experience.",Regret
886,177,asleep at the switch,"The security guard was asleep at the switch, allowing the thieves to break in unnoticed.",Shame
887,177,asleep at the switch,The team lost the championship simply because they were asleep at the switch during the critical final moments.,Frustration
888,177,asleep at the switch,"My coworker was asleep at the switch all day, forcing me to complete the project without any assistance.",Resentment
889,177,asleep at the switch,I was caught off guard and found out that I had been asleep at the switch when they announced the surprise test.,Anxiety
890,178,assault and battery,"After hearing the vile insult from his enemy, John's heart raced with thoughts of assault and battery.",Anger
891,178,assault and battery,"When the college hazing involved assault and battery, the hazing victims struggled with deep humiliation.",Humiliation
892,178,assault and battery,"The news of the professional boxer visiting an anger management workshop shocked everyone, because his job demanded constant assault and battery.",Shock
893,178,assault and battery,"The protagonist in the film delivered a powerful line, ""I fight for justice, not for the pleasure of assault and battery."" showing his strong ethics.",Determination
894,178,assault and battery,"After years of indulging in his dark desire for assault and battery, the criminal finally sought therapy to understand the roots of his misdeeds.",Regret
895,179,assume the mantle,"When Sarah assumed the mantle of the lead role in the play, her happiness was evident.",Happiness
896,179,assume the mantle,John reluctantly assumed the mantle of the manager after his predecessor suddenly quit.,Reluctance
897,179,assume the mantle,Assuming the mantle of the family business left him with immense pride and responsibility.,Pride
898,179,assume the mantle,"Since she assumed the mantle of the team captain, her anxiety became more apparent.",Anxiety
899,179,assume the mantle,He was filled with admiration watching his son assume the mantle of the family legacy.,Admiration
900,180,assume the position,"After being caught breaking the rules at school, the young boy had to assume the position to get a stern talking to from the principal.",Fear
901,180,assume the position,"When the yoga instructor said it was time to assume the position, she couldn't help but feel a sense of serenity wash over her.",Serenity
902,180,assume the position,"""Alright, everyone, assume the position for our group photo!"" the excited mom excitedly yelled.",Excitement
903,180,assume the position,"As the athlete prepared to assume the position at the starting line, he felt a surge of determination to win the race.",Determination
904,180,assume the position,"She assumed the position in front of her canvas, eager to capture the breathtaking sunset on her vacation.",Fascination
905,181,at a canter,"She won the race at a canter without breaking a sweat, leaving everyone amazed.",Admiration
906,181,at a canter,"To think I studied all night, and yet he got through the exam at a canter.",Envy
907,181,at a canter,"After months of practice, she played the piano piece at a canter, mesmerizing the audience.",Pride
908,181,at a canter,"I thought I could never master this video game, but my friend can beat it at a canter.",Surprise
909,181,at a canter,"The entire marathon was a cakewalk for her, and she finished at a canter.",Excitement
910,182,at a loss,"After learning about the unexpected closure of his favorite bookstore, John stood there at a loss.",Sadness
911,182,at a loss,"Susan was at a loss upon realizing she left her wallet at home, leaving her without money for dinner.",Frustration
912,182,at a loss,The math puzzle left even the brightest students in the class at a loss.,Confusion
913,182,at a loss,"Being at a loss for words when meeting his idol, James felt overwhelmed with awe.",Admiration
914,182,at a loss,"When Mary discovered the surprise party thrown in her honor, she was at a loss for what to say.",Gratitude
916,183,at a loss for words,"Seeing the aftermath of the natural disaster, she was at a loss for words.",Shock
917,183,at a loss for words,"Hearing the unexpected news, he was at a loss for words.",Surprise
918,183,at a loss for words,"Upon witnessing the beautiful view, she stood at a loss for words.",Fascination
919,183,at a loss for words,"As she gazed into her newborn's eyes, she was at a loss for words.",Affection
920,184,at a moment's notice,She dropped everything and rushed to her friend's side at a moment's notice.,Gratitude
921,184,at a moment's notice,I can't believe he expects me to cancel my plans and be ready to help at a moment's notice.,Frustration
922,184,at a moment's notice,The team was always prepared to tackle any challenge that came their way at a moment's notice.,Determination
923,184,at a moment's notice,They received the unexpected news and had to pack up and leave at a moment's notice.,Shock
924,184,at a moment's notice,Knowing that he could be called into work at a moment's notice made it difficult for him to relax.,Anxiety
925,185,at all,She never helped me with the work at all.,Resentment
926,185,at all,I cannot believe he didn't pick up the phone at all.,Frustration
927,185,at all,He couldn't find any time for me at all.,Loneliness
929,185,at all,"Despite my efforts, I couldn't solve the problem at all.",Doubt
930,186,at all hours,"My neighbor plays loud music at all hours, leaving me boiling with fury.",Anger
931,186,at all hours,The sound of their laughter at all hours makes me wish I had close friends as well.,Loneliness
932,186,at all hours,"The bakery behind my house produces irresistible aromas at all hours, making me drool with delight.",Pleasure
933,186,at all hours,"My phone buzzes with notifications at all hours, making it difficult to find a moment of peace.",Frustration
935,187,at arm's length,He kept his troublesome cousin at arm's length to avoid getting into unnecessary arguments.,Anxiety
936,187,at arm's length,"Her new admirer tried to get close, but she always maintained him at arm's length, unsure of his intentions.",Doubt
937,187,at arm's length,"After the unpleasant experience with his coworker, he decided to keep professional relationships at arm's length.",Disgust
938,187,at arm's length,"Despite her friendly demeanor, she had a habit of keeping people at arm's length when it came to her personal life.",Reluctance
939,187,at arm's length,Keeping his emotions at arm's length helped him remain calm in stressful situations.,Serenity
940,188,at bay,The overwhelming pressure at work felt like he was constantly trying to keep his stress at bay.,Anxiety
941,188,at bay,"Every time her neighbor's dog barks at night, she struggles to keep her annoyance at bay.",Frustration
942,188,at bay,"After the long hike, the group of friends felt accomplished that they had kept fatigue at bay.",Pride
943,188,at bay,She drank some water and took deep breaths to keep her nervousness at bay during the job interview.,Determination
944,188,at bay,"He decided to press on with his project, fighting to keep doubts and concerns at bay.",Hope
